Timestamp,Roll_Delta,Pitch_Delta,Heading_Delta,Detected_Gesture,Actual_Roll,Actual_Pitch,Actual_Heading
172094965,0,1,0,,"[8, 8, 8, 8, 8]","[-8, -8, -7, -7, -7]","[108, 108, 108, 108, 108]"
172120422,0,1,0,Centered,"[8, 8, 8, 8, 8]","[-8, -7, -7, -7, -7]","[108, 108, 108, 108, 108]"
172145503,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -7, -7, -7]","[108, 108, 108, 108, 108]"
172171109,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -7, -7, -7]","[108, 108, 108, 108, 108]"
172199612,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -7, -7, -7]","[108, 108, 108, 108, 108]"
172223832,0,-1,0,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -7, -7, -8]","[108, 108, 108, 108, 108]"
172272006,0,-1,1,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -7, -8, -8]","[108, 108, 108, 108, 109]"
172297838,0,-1,1,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -8, -8, -8]","[108, 108, 108, 109, 109]"
172327602,0,-1,1,Centered,"[8, 8, 8, 8, 8]","[-7, -8, -8, -8, -8]","[108, 108, 109, 109, 109]"
172351630,0,1,1,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -7]","[108, 109, 109, 109, 109]"
172398971,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -7, -8]","[109, 109, 109, 109, 109]"
172424453,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -7, -8, -8]","[109, 109, 109, 109, 109]"
172449415,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -7, -8, -8, -8]","[109, 109, 109, 109, 109]"
172477130,0,-1,0,Centered,"[8, 8, 8, 8, 8]","[-7, -8, -8, -8, -8]","[109, 109, 109, 109, 109]"
172500128,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -8]","[109, 109, 109, 109, 109]"
172528127,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -8]","[109, 109, 109, 109, 109]"
172551154,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -8]","[109, 109, 109, 109, 109]"
172576397,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -8]","[109, 109, 109, 109, 109]"
172606598,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -8]","[109, 109, 109, 109, 109]"
172630611,0,1,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -7]","[109, 109, 109, 109, 109]"
172677899,0,1,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -7, -7]","[109, 109, 109, 109, 109]"
172779147,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -7, -7, -8]","[109, 109, 109, 109, 109]"
172804594,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -7, -7, -8, -8]","[109, 109, 109, 109, 109]"
172832599,0,-1,0,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -8, -8, -8]","[109, 109, 109, 109, 109]"
172880639,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-7, -8, -8, -8, -7]","[109, 109, 109, 109, 109]"
172943923,0,1,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -7, -7]","[109, 109, 109, 109, 109]"
172973420,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -7, -7, -8]","[109, 109, 109, 109, 109]"
173001425,0,0,1,Centered,"[8, 8, 8, 8, 8]","[-8, -7, -7, -8, -8]","[109, 109, 109, 109, 110]"
173057986,0,-1,1,Centered,"[8, 8, 8, 8, 8]","[-7, -7, -8, -8, -8]","[109, 109, 109, 110, 110]"
173083583,0,-1,1,Centered,"[8, 8, 8, 8, 8]","[-7, -8, -8, -8, -8]","[109, 109, 110, 110, 110]"
173113584,0,0,1,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -8]","[109, 110, 110, 110, 110]"
173167431,0,0,0,Centered,"[8, 8, 8, 8, 8]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173201344,-1,0,0,Centered,"[8, 8, 8, 8, 7]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173230586,0,0,0,Centered,"[8, 8, 8, 7, 8]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173260430,0,1,0,Centered,"[8, 8, 7, 8, 8]","[-8, -8, -8, -8, -7]","[110, 110, 110, 110, 110]"
173311127,0,1,0,Centered,"[8, 7, 8, 8, 8]","[-8, -8, -8, -7, -7]","[110, 110, 110, 110, 110]"
173339595,1,0,0,Centered,"[7, 8, 8, 8, 8]","[-8, -8, -7, -7, -8]","[110, 110, 110, 110, 110]"
173364847,1,0,0,Centered,"[8, 8, 8, 8, 9]","[-8, -7, -7, -8, -8]","[110, 110, 110, 110, 110]"
173412593,1,-1,0,Centered,"[8, 8, 8, 9, 9]","[-7, -7, -8, -8, -8]","[110, 110, 110, 110, 110]"
173444419,1,-1,0,Centered,"[8, 8, 9, 9, 9]","[-7, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173488600,1,0,0,Centered,"[8, 9, 9, 9, 9]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173522401,0,0,0,Centered,"[9, 9, 9, 9, 9]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173576434,0,0,0,Centered,"[9, 9, 9, 9, 9]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173615124,0,0,0,Centered,"[9, 9, 9, 9, 9]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173640586,0,0,0,Centered,"[9, 9, 9, 9, 9]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173670586,0,0,0,Centered,"[9, 9, 9, 9, 9]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173718627,0,-1,0,Centered,"[9, 9, 9, 9, 9]","[-8, -8, -8, -8, -9]","[110, 110, 110, 110, 110]"
173744433,-1,-1,0,Centered,"[9, 9, 9, 9, 8]","[-8, -8, -8, -9, -9]","[110, 110, 110, 110, 110]"
173794421,0,0,0,Centered,"[9, 9, 9, 8, 9]","[-8, -8, -9, -9, -8]","[110, 110, 110, 110, 110]"
173843677,0,0,0,Centered,"[9, 9, 8, 9, 9]","[-8, -9, -9, -8, -8]","[110, 110, 110, 110, 110]"
173868793,0,1,0,Centered,"[9, 8, 9, 9, 9]","[-9, -9, -8, -8, -8]","[110, 110, 110, 110, 110]"
173893947,1,1,0,Centered,"[8, 9, 9, 9, 9]","[-9, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173919129,0,0,0,Centered,"[9, 9, 9, 9, 9]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173944597,1,0,0,Centered,"[9, 9, 9, 9, 10]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
173978621,1,0,0,Centered,"[9, 9, 9, 10, 10]","[-8, -8, -8, -8, -8]","[110, 110, 110, 110, 110]"
