Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
539415,21,-255,944,0,0,0
539422,20,-254,943,0,0,0
539428,20,-252,944,0,0,0
539441,21,-253,944,0,0,0
539477,20,-251,942,0,0,0
539480,20,-251,942,0,0,0
539494,19,-250,943,0,0,-1
539539,18,-249,945,0,0,0
539541,18,-249,945,0,0,0
539558,18,-248,943,0,0,-1
539598,20,-246,947,-1,0,-1
539603,20,-246,946,-1,0,0
539613,17,-245,947,-1,0,-1
539657,15,-247,943,0,0,-1
539665,16,-246,943,0,0,-1
539680,12,-244,945,0,0,-1
539726,9,-246,945,0,0,-1
539734,10,-247,942,0,0,-1
539747,15,-246,940,-1,0,-1
539777,24,-238,936,-2,0,-1
539785,26,-229,944,-4,0,-1
539799,31,-225,984,2,-1,0
539841,23,-238,952,-6,0,0
539844,23,-238,952,-6,0,0
539857,22,-233,968,-5,0,0
539899,13,-248,938,9,0,0
539906,13,-248,938,6,0,0
539918,12,-248,937,3,0,0
539957,11,-246,949,3,0,0
539963,9,-247,947,3,0,0
539978,10,-249,941,4,0,0
540017,11,-247,942,0,0,0
540023,11,-247,942,0,0,0
540035,13,-246,945,0,0,0
540078,14,-246,942,0,0,0
540086,14,-245,943,0,0,0
540097,16,-244,945,0,0,0
540137,19,-244,945,1,0,0
540140,19,-244,945,1,0,0
540154,21,-241,945,0,0,0
540197,18,-241,947,0,0,0
540200,18,-241,947,0,0,0
540208,18,-241,946,0,0,0
540258,18,-242,948,2,0,0
540265,18,-244,948,2,0,0
540281,20,-245,942,2,0,0
540324,12,-242,948,1,0,0
540332,11,-243,947,1,0,0
540344,13,-243,946,2,0,0
540377,10,-246,945,2,0,0
540382,6,-245,942,2,0,0
540390,16,-249,944,2,0,1
540438,16,-248,940,2,0,0
540442,16,-250,939,2,0,0
540458,15,-248,942,1,0,0
540497,16,-247,946,0,0,0
540504,16,-248,945,0,0,0
540519,17,-247,945,1,0,0
540557,17,-246,943,0,0,0
540562,17,-246,943,0,0,0
540576,18,-246,945,0,0,0
540619,14,-244,942,2,0,0
540622,14,-244,942,2,0,0
540635,17,-250,946,2,0,0
540677,18,-248,945,1,0,0
540686,18,-247,944,1,0,0
540698,16,-247,947,0,0,0
540738,16,-248,948,1,0,0
540746,18,-248,946,2,0,0
540754,17,-249,944,2,0,0
540797,16,-250,941,3,0,0
540804,15,-250,941,2,0,0
540815,17,-251,942,1,0,0
540864,16,-250,947,1,0,0
540867,16,-250,947,1,0,0
540881,16,-252,942,3,0,0
540919,17,-251,941,0,0,0
540926,17,-251,941,0,0,0
540939,18,-252,944,0,0,0
540977,17,-252,941,2,0,0
540983,16,-253,940,1,0,0
540996,16,-252,940,0,0,0
541037,19,-248,946,0,0,0
541042,19,-248,945,0,0,0
541057,19,-249,942,1,0,0
541099,19,-250,946,1,0,0
541106,19,-250,946,1,0,0
541117,20,-253,946,1,0,0
541157,15,-250,943,1,0,0
541162,15,-250,943,1,0,0
541178,15,-251,943,0,0,0
541217,15,-250,943,0,0,0
541224,15,-250,943,0,0,0
541238,15,-250,943,0,0,0
541280,18,-249,944,0,0,0
541288,19,-248,946,0,0,0
541300,18,-247,946,0,0,0
541339,16,-247,944,0,0,0
541344,17,-247,943,0,0,0
541351,17,-247,943,0,0,0
541400,17,-248,943,0,0,0
541407,16,-247,943,0,0,0
541421,17,-248,943,0,0,0
541465,17,-247,945,0,0,0
541469,17,-247,945,0,0,0
541483,16,-247,944,0,0,0
541528,16,-247,943,1,0,0
541532,15,-247,945,1,0,0
541548,17,-247,945,1,0,0
541580,17,-248,945,1,0,0
541589,16,-248,943,1,0,0
541599,17,-248,944,1,0,0
541637,16,-250,943,1,0,0
541641,15,-250,944,1,0,0
541652,16,-249,943,1,0,0
541697,17,-249,943,0,0,0
541701,18,-247,945,0,0,0
541714,17,-248,945,0,0,0
541762,17,-248,945,1,0,0
541769,17,-249,945,0,0,0
541783,17,-249,942,1,0,0
541823,18,-248,944,0,0,0
541828,17,-249,944,0,0,0
541839,18,-248,945,0,0,0
541882,19,-249,944,1,0,0
541890,19,-249,943,1,0,0
541905,19,-248,944,1,0,0
541938,17,-248,945,1,0,0
541949,17,-248,944,1,0,0
541998,18,-250,943,0,0,0
542003,18,-249,945,0,0,0
542015,18,-249,945,0,0,0
542059,17,-250,944,1,0,0
542064,18,-250,945,1,0,0
542079,17,-250,945,1,0,0
542123,18,-250,943,1,0,0
542131,17,-250,943,0,0,0
542141,17,-250,943,0,0,0
542183,18,-250,942,1,0,0
542190,18,-249,942,1,0,0
542200,17,-249,942,1,0,0
542242,18,-249,945,0,0,0
542248,15,-250,944,1,0,0
542255,15,-250,944,1,0,0
542297,18,-250,944,0,0,0
542302,19,-248,944,0,0,0
542316,20,-250,944,0,0,0
542357,18,-250,944,0,0,0
542363,18,-250,944,0,0,0
542377,18,-249,943,0,0,0
542420,18,-249,943,1,0,0
542429,18,-249,944,0,0,0
542438,18,-248,943,1,0,0
542478,18,-249,943,1,0,0
542483,18,-249,943,1,0,0
542495,18,-249,942,0,0,0
542540,16,-250,945,1,0,0
542548,16,-250,944,1,0,0
542564,19,-250,945,1,0,0
542599,18,-249,945,0,0,0
542604,19,-250,945,1,0,0
542627,18,-248,944,1,0,0
542662,18,-249,944,0,0,0
542665,18,-249,944,0,0,0
542675,18,-249,946,0,0,0
542720,17,-248,947,0,0,0
542725,17,-248,947,0,0,0
542740,14,-250,944,1,0,0
542778,13,-250,941,1,0,0
542783,10,-251,942,1,0,0
542794,10,-250,943,0,0,0
542839,29,-242,942,-2,1,0
542842,29,-242,942,-2,1,0
542853,29,-240,945,-2,1,0
542898,22,-246,945,3,0,0
542910,24,-246,947,2,0,0
542958,20,-250,948,2,0,0
542962,20,-250,948,2,0,0
542977,15,-253,942,3,0,0
543020,13,-249,943,0,0,0
543026,15,-247,944,0,0,0
543041,14,-246,945,1,0,0
543086,18,-247,942,0,0,0
543094,19,-247,944,0,0,0
543104,22,-246,947,0,0,0
543144,20,-248,944,1,0,0
543152,17,-248,942,1,0,0
543166,18,-247,944,1,0,0
543198,18,-249,944,0,0,0
543204,18,-247,944,0,0,0
543212,19,-248,944,0,0,0
543260,21,-247,944,0,0,0
543265,20,-246,946,0,0,0
543279,19,-247,946,0,0,0
543321,12,-244,945,0,0,0
543328,12,-244,945,2,0,0
543342,15,-246,942,0,0,0
543387,15,-243,950,0,0,0
543391,15,-244,945,0,0,0
543402,15,-245,942,0,0,0
543447,16,-239,947,-1,0,-1
543450,16,-239,947,-1,0,-1
543458,16,-239,948,0,0,-1
543500,19,-240,944,0,0,0
543508,18,-240,945,0,0,0
543518,18,-240,947,0,0,0
543562,18,-240,945,0,0,0
543618,19,-239,949,0,0,0
543626,19,-239,951,0,0,0
543637,18,-238,948,0,0,0
543681,17,-238,950,0,0,0
543689,18,-238,947,1,0,0
543702,17,-237,952,1,0,0
543742,16,-239,945,2,0,0
543749,14,-240,941,2,0,0
543762,16,-235,949,0,0,0
543804,18,-229,930,3,0,0
543812,-230,-147,939,7,1,0
543824,102,-52,834,41,30,38
543862,74,-155,1107,-118,17,15
543869,74,-155,1107,-78,5,3
543882,62,-168,1094,-12,-2,-3
543925,-98,-178,1014,86,-37,-31
543930,-66,-145,892,120,-22,-22
543943,0,-214,789,122,-11,-13
543977,67,-221,907,-69,4,-8
543982,68,-201,979,-74,7,-4
543993,26,-216,1016,-61,9,0
544036,31,-235,953,47,-4,-1
544041,31,-252,896,51,-3,-1
544059,27,-258,890,20,-4,-1
544100,28,-229,983,-20,2,0
544108,28,-227,984,-9,1,0
544119,27,-230,971,4,0,0
544157,26,-247,921,6,-1,0
544163,26,-247,921,6,-1,0
544176,22,-241,925,-2,0,-1
544227,24,-246,953,0,-2,-1
544230,24,-246,953,0,-2,-1
544244,33,-245,953,-2,0,-1
544283,23,-237,968,-2,1,0
544287,26,-235,992,-2,1,0
544295,26,-236,984,5,0,0
544340,20,-248,910,14,-1,0
544345,22,-249,911,7,-1,0
544354,26,-252,919,1,0,0
544399,22,-242,950,1,0,0
544404,25,-242,941,5,0,-1
544412,22,-245,930,8,-1,-1
544459,22,-250,933,-4,0,-1
544463,22,-246,942,-4,0,-1
544474,23,-240,947,-8,0,-1
544520,25,-249,947,5,-1,0
544526,25,-249,947,5,-1,0
544534,24,-250,948,3,-1,-1
544577,22,-241,949,1,0,-1
544582,22,-242,957,1,0,-1
544590,21,-242,955,2,-1,-1
544641,22,-243,953,-2,0,0
544644,22,-243,953,-2,0,0
544652,22,-243,954,-1,0,0
544702,23,-248,936,4,0,0
544710,21,-247,935,2,0,0
544725,21,-247,942,0,0,0
544758,20,-243,946,1,0,0
544761,20,-243,946,1,0,0
544773,19,-245,942,3,0,0
544821,21,-246,947,0,0,0
544826,21,-245,945,0,0,0
544837,21,-245,946,1,0,0
544883,21,-249,943,0,0,0
544886,21,-249,943,0,0,0
544894,21,-245,942,0,0,-1
544940,22,-243,945,2,0,0
544945,20,-247,943,3,0,0
544953,20,-247,939,3,0,0
544997,20,-245,951,-2,0,0
545001,20,-245,951,-3,0,0
545008,21,-244,955,-3,0,0
545060,20,-245,930,5,0,0
545064,19,-247,927,5,0,0
545075,19,-251,933,1,0,0
545117,22,-242,960,-1,0,0
545122,20,-240,955,2,0,0
545133,20,-243,949,5,0,0
545181,21,-246,940,-1,0,0
545184,21,-246,940,-1,0,0
545192,20,-246,949,-3,0,0
545237,22,-245,952,6,0,0
545244,20,-246,943,6,0,0
545252,20,-244,934,7,0,0
545298,20,-244,953,-4,0,0
545301,20,-244,953,-4,0,0
545312,20,-242,954,-2,0,0
545360,19,-249,931,4,0,0
545364,19,-249,931,1,0,0
545371,20,-249,931,1,0,0
545417,22,-238,946,1,0,0
545423,22,-238,946,6,0,-1
545430,21,-242,939,6,0,-1
545481,23,-262,938,-4,1,0
545488,17,-243,970,-16,1,-1
545498,21,-231,989,-18,1,-1
545541,22,-238,955,15,-1,-1
545547,21,-242,927,15,-1,-1
545556,21,-250,913,15,-1,0
545599,20,-245,948,-8,2,0
545604,22,-243,963,-10,1,0
545615,20,-238,965,-6,1,0
545660,19,-246,934,5,0,0
545664,21,-246,931,5,0,0
545680,19,-245,927,1,0,0
545720,20,-243,955,0,0,0
545723,20,-243,955,0,0,0
545731,18,-245,956,0,0,0
545779,8,-252,948,0,0,0
545792,3,-256,957,-3,1,0
545838,14,-232,954,-1,0,-2
545844,14,-232,954,-1,0,-2
545852,37,-224,937,-1,2,-2
545899,6,-171,1106,6,6,3
545902,6,-171,1106,6,6,3
545910,-119,389,1777,65,-3,16
545957,241,-962,865,157,50,-254
545964,241,-962,865,96,6,-229
545971,515,-1726,683,96,6,-229
546017,-365,-394,3814,-294,-262,139
546023,-365,-394,3814,-256,-254,160
546035,-900,669,3999,-269,-226,131
546081,-2657,-395,3655,-458,218,-193
546086,-1907,-771,3033,-535,287,-232
546096,-2063,-1386,2580,-574,352,-253
546141,-162,-1082,437,-100,61,-30
546146,-67,-608,-850,-100,61,-30
546155,157,-559,-1229,-34,4,-42
546197,-465,-1121,-3159,33,151,-100
546205,-300,-432,-3323,44,138,-59
546216,-72,-580,-2472,67,58,-52
546259,412,170,384,288,-158,21
546264,557,292,1469,288,-158,21
546272,370,312,2064,209,-114,3
546323,49,218,860,-47,34,-24
546329,142,26,941,-30,17,-26
546339,141,101,1080,-5,0,-17
546384,197,58,1359,22,-24,-10
546389,233,63,1141,-2,0,-10
546397,240,-106,1029,-18,12,-18
546438,174,9,806,0,38,0
546441,174,9,806,0,38,0
546449,178,59,674,0,40,1
546500,278,108,859,27,-2,4
546508,291,77,891,26,-3,4
